Region,Year,Diagnosis,Definition,Sex,Age,Prevalence,Lower,Upper,Source,Group
Republic of Indonesia,1998,Depression,Depressive disorders,Both,All ages,2.22%,1.95%,2.50%,GBD 1998,Mental Health
Global,1999,Depression,Depressive disorders,Both,All ages,3.55%,3.20%,3.94%,GBD 1999,Mental Health
Republic of Indonesia,1999,Depression,Depressive disorders,Both,All ages,2.24%,1.98%,2.53%,GBD 1999,Mental Health
Global,2000,Depression,Depressive disorders,Both,All ages,3.56%,3.22%,3.95%,GBD 2000,Mental Health
Republic of Indonesia,2000,Depression,Depressive disorders,Both,All ages,2.26%,1.99%,2.55%,GBD 2000,Mental Health
Global,2001,Depression,Depressive disorders,Both,All ages,3.59%,3.24%,3.97%,GBD 2001,Mental Health
Republic of Indonesia,2001,Depression,Depressive disorders,Both,All ages,2.28%,2.01%,2.57%,GBD 2001,Mental Health
Global,2002,Depression,Depressive disorders,Both,All ages,3.61%,3.26%,4.00%,GBD 2002,Mental Health
Republic of Indonesia,2002,Depression,Depressive disorders,Both,All ages,2.30%,2.03%,2.59%,GBD 2002,Mental Health
Global,2003,Depression,Depressive disorders,Both,All ages,3.64%,3.29%,4.03%,GBD 2003,Mental Health
Republic of Indonesia,2003,Depression,Depressive disorders,Both,All ages,2.32%,2.05%,2.61%,GBD 2003,Mental Health
Global,2004,Depression,Depressive disorders,Both,All ages,3.67%,3.31%,4.06%,GBD 2004,Mental Health
Republic of Indonesia,2004,Depression,Depressive disorders,Both,All ages,2.34%,2.06%,2.64%,GBD 2004,Mental Health
Global,2005,Depression,Depressive disorders,Both,All ages,3.69%,3.33%,4.08%,GBD 2005,Mental Health
Republic of Indonesia,2005,Depression,Depressive disorders,Both,All ages,2.35%,2.08%,2.66%,GBD 2005,Mental Health
Global,2006,Depression,Depressive disorders,Both,All ages,3.69%,3.33%,4.08%,GBD 2006,Mental Health
Republic of Indonesia,2006,Depression,Depressive disorders,Both,All ages,2.36%,2.09%,2.67%,GBD 2006,Mental Health
Global,2007,Depression,Depressive disorders,Both,All ages,3.66%,3.31%,4.04%,GBD 2007,Mental Health
Republic of Indonesia,2007,Depression,Depressive disorders,Both,All ages,2.36%,2.09%,2.67%,GBD 2007,Mental Health
Global,2008,Depression,Depressive disorders,Both,All ages,3.62%,3.29%,3.99%,GBD 2008,Mental Health
Republic of Indonesia,2008,Depression,Depressive disorders,Both,All ages,2.37%,2.09%,2.67%,GBD 2008,Mental Health
Global,2009,Depression,Depressive disorders,Both,All ages,3.60%,3.26%,3.96%,GBD 2009,Mental Health
Republic of Indonesia,2009,Depression,Depressive disorders,Both,All ages,2.37%,2.10%,2.68%,GBD 2009,Mental Health
Global,2010,Depression,Depressive disorders,Both,All ages,3.59%,3.26%,3.96%,GBD 2010,Mental Health
Republic of Indonesia,2010,Depression,Depressive disorders,Both,All ages,2.38%,2.11%,2.69%,GBD 2010,Mental Health
Global,2011,Depression,Depressive disorders,Both,All ages,3.61%,3.27%,3.98%,GBD 2011,Mental Health
Republic of Indonesia,2011,Depression,Depressive disorders,Both,All ages,2.40%,2.12%,2.71%,GBD 2011,Mental Health
Global,2012,Depression,Depressive disorders,Both,All ages,3.63%,3.28%,4.00%,GBD 2012,Mental Health
Republic of Indonesia,2012,Depression,Depressive disorders,Both,All ages,2.43%,2.14%,2.73%,GBD 2012,Mental Health
Global,2013,Depression,Depressive disorders,Both,All ages,3.65%,3.29%,4.02%,GBD 2013,Mental Health
Republic of Indonesia,2013,Depression,Depressive disorders,Both,All ages,2.45%,2.17%,2.76%,GBD 2013,Mental Health
Global,2014,Depression,Depressive disorders,Both,All ages,3.67%,3.31%,4.05%,GBD 2014,Mental Health
Republic of Indonesia,2014,Depression,Depressive disorders,Both,All ages,2.48%,2.19%,2.79%,GBD 2014,Mental Health
Global,2015,Depression,Depressive disorders,Both,All ages,3.69%,3.32%,4.08%,GBD 2015,Mental Health
Republic of Indonesia,2015,Depression,Depressive disorders,Both,All ages,2.50%,2.21%,2.82%,GBD 2015,Mental Health
Global,2016,Depression,Depressive disorders,Both,All ages,3.70%,3.34%,4.10%,GBD 2016,Mental Health
Republic of Indonesia,2016,Depression,Depressive disorders,Both,All ages,2.52%,2.22%,2.84%,GBD 2016,Mental Health
Global,2017,Depression,Depressive disorders,Both,All ages,3.72%,3.36%,4.12%,GBD 2017,Mental Health
Republic of Indonesia,2017,Depression,Depressive disorders,Both,All ages,2.54%,2.24%,2.86%,GBD 2017,Mental Health
Global,2018,Depression,Depressive disorders,Both,All ages,3.74%,3.36%,4.15%,GBD 2018,Mental Health
Republic of Indonesia,2018,Depression,Depressive disorders,Both,All ages,2.57%,2.28%,2.89%,GBD 2018,Mental Health
Global,2019,Depression,Depressive disorders,Both,All ages,3.76%,3.38%,4.17%,GBD 2019,Mental Health
Republic of Indonesia,2019,Depression,Depressive disorders,Both,All ages,2.63%,2.32%,2.95%,GBD 2019,Mental Health
Global,1990,Emotional disorder,Mental disorders,Both,All ages,12.70%,11.71%,13.73%,GBD 1990,Mental Health
Republic of Indonesia,1990,Emotional disorder,Mental disorders,Both,All ages,10.60%,9.64%,11.51%,GBD 1990,Mental Health
Global,1991,Emotional disorder,Mental disorders,Both,All ages,12.76%,11.77%,13.79%,GBD 1991,Mental Health
Republic of Indonesia,1991,Emotional disorder,Mental disorders,Both,All ages,10.59%,9.63%,11.50%,GBD 1991,Mental Health
Global,1992,Emotional disorder,Mental disorders,Both,All ages,12.81%,11.83%,13.84%,GBD 1992,Mental Health
Republic of Indonesia,1992,Emotional disorder,Mental disorders,Both,All ages,10.59%,9.64%,11.49%,GBD 1992,Mental Health
Global,1993,Emotional disorder,Mental disorders,Both,All ages,12.86%,11.89%,13.90%,GBD 1993,Mental Health
Republic of Indonesia,1993,Emotional disorder,Mental disorders,Both,All ages,10.60%,9.65%,11.49%,GBD 1993,Mental Health
Global,1994,Emotional disorder,Mental disorders,Both,All ages,12.91%,11.94%,13.95%,GBD 1994,Mental Health
Republic of Indonesia,1994,Emotional disorder,Mental disorders,Both,All ages,10.60%,9.67%,11.49%,GBD 1994,Mental Health
Global,1995,Emotional disorder,Mental disorders,Both,All ages,12.94%,11.98%,13.98%,GBD 1995,Mental Health
Republic of Indonesia,1995,Emotional disorder,Mental disorders,Both,All ages,10.61%,9.69%,11.49%,GBD 1995,Mental Health
Global,1996,Emotional disorder,Mental disorders,Both,All ages,12.97%,12.00%,13.99%,GBD 1996,Mental Health
Republic of Indonesia,1996,Emotional disorder,Mental disorders,Both,All ages,10.62%,9.70%,11.51%,GBD 1996,Mental Health
Global,1997,Emotional disorder,Mental disorders,Both,All ages,13.01%,12.04%,14.02%,GBD 1997,Mental Health
Republic of Indonesia,1997,Emotional disorder,Mental disorders,Both,All ages,10.64%,9.71%,11.54%,GBD 1997,Mental Health
Global,1998,Emotional disorder,Mental disorders,Both,All ages,13.05%,12.08%,14.06%,GBD 1998,Mental Health
Republic of Indonesia,1998,Emotional disorder,Mental disorders,Both,All ages,10.66%,9.74%,11.56%,GBD 1998,Mental Health
Global,1999,Emotional disorder,Mental disorders,Both,All ages,13.09%,12.11%,14.09%,GBD 1999,Mental Health
Republic of Indonesia,1999,Emotional disorder,Mental disorders,Both,All ages,10.68%,9.74%,11.59%,GBD 1999,Mental Health
Global,2000,Emotional disorder,Mental disorders,Both,All ages,13.11%,12.13%,14.11%,GBD 2000,Mental Health
Republic of Indonesia,2000,Emotional disorder,Mental disorders,Both,All ages,10.70%,9.79%,11.61%,GBD 2000,Mental Health
Global,2001,Emotional disorder,Mental disorders,Both,All ages,13.13%,12.17%,14.12%,GBD 2001,Mental Health
Republic of Indonesia,2001,Emotional disorder,Mental disorders,Both,All ages,10.73%,9.82%,11.67%,GBD 2001,Mental Health
Global,2002,Emotional disorder,Mental disorders,Both,All ages,13.15%,12.18%,14.13%,GBD 2002,Mental Health
Republic of Indonesia,2002,Emotional disorder,Mental disorders,Both,All ages,10.77%,9.85%,11.70%,GBD 2002,Mental Health
Global,2003,Emotional disorder,Mental disorders,Both,All ages,13.15%,12.20%,14.13%,GBD 2003,Mental Health
Republic of Indonesia,2003,Emotional disorder,Mental disorders,Both,All ages,10.82%,9.90%,11.75%,GBD 2003,Mental Health
Global,2004,Emotional disorder,Mental disorders,Both,All ages,13.16%,12.21%,14.14%,GBD 2004,Mental Health
Republic of Indonesia,2004,Emotional disorder,Mental disorders,Both,All ages,10.86%,9.93%,11.79%,GBD 2004,Mental Health
Global,2005,Emotional disorder,Mental disorders,Both,All ages,13.16%,12.22%,14.13%,GBD 2005,Mental Health
Republic of Indonesia,2005,Emotional disorder,Mental disorders,Both,All ages,10.88%,9.96%,11.81%,GBD 2005,Mental Health
Global,2006,Emotional disorder,Mental disorders,Both,All ages,13.15%,12.20%,14.13%,GBD 2006,Mental Health
Republic of Indonesia,2006,Emotional disorder,Mental disorders,Both,All ages,10.88%,9.95%,11.80%,GBD 2006,Mental Health
Global,2007,Emotional disorder,Mental disorders,Both,All ages,13.12%,12.19%,14.11%,GBD 2007,Mental Health
Republic of Indonesia,2007,Emotional disorder,Mental disorders,Both,All ages,10.86%,9.95%,11.77%,GBD 2007,Mental Health
Global,2008,Emotional disorder,Mental disorders,Both,All ages,13.09%,12.17%,14.08%,GBD 2008,Mental Health
Republic of Indonesia,2008,Emotional disorder,Mental disorders,Both,All ages,10.84%,9.94%,11.74%,GBD 2008,Mental Health
Global,2009,Emotional disorder,Mental disorders,Both,All ages,13.06%,12.15%,14.05%,GBD 2009,Mental Health
Republic of Indonesia,2009,Emotional disorder,Mental disorders,Both,All ages,10.82%,9.92%,11.73%,GBD 2009,Mental Health
Global,2010,Emotional disorder,Mental disorders,Both,All ages,13.04%,12.13%,14.04%,GBD 2010,Mental Health
Republic of Indonesia,2010,Emotional disorder,Mental disorders,Both,All ages,10.81%,9.91%,11.71%,GBD 2010,Mental Health
Global,2011,Emotional disorder,Mental disorders,Both,All ages,13.03%,12.13%,14.03%,GBD 2011,Mental Health
Republic of Indonesia,2011,Emotional disorder,Mental disorders,Both,All ages,10.81%,9.92%,11.71%,GBD 2011,Mental Health
Global,2012,Emotional disorder,Mental disorders,Both,All ages,13.01%,12.12%,14.01%,GBD 2012,Mental Health
Republic of Indonesia,2012,Emotional disorder,Mental disorders,Both,All ages,10.82%,9.94%,11.72%,GBD 2012,Mental Health
Global,2013,Emotional disorder,Mental disorders,Both,All ages,13.00%,12.10%,13.98%,GBD 2013,Mental Health
Republic of Indonesia,2013,Emotional disorder,Mental disorders,Both,All ages,10.84%,9.95%,11.73%,GBD 2013,Mental Health
Global,2014,Emotional disorder,Mental disorders,Both,All ages,12.98%,12.08%,13.96%,GBD 2014,Mental Health
Republic of Indonesia,2014,Emotional disorder,Mental disorders,Both,All ages,10.86%,9.97%,11.74%,GBD 2014,Mental Health
Global,2015,Emotional disorder,Mental disorders,Both,All ages,12.98%,12.07%,13.96%,GBD 2015,Mental Health
Republic of Indonesia,2015,Emotional disorder,Mental disorders,Both,All ages,10.88%,9.99%,11.76%,GBD 2015,Mental Health
Global,2016,Emotional disorder,Mental disorders,Both,All ages,13.00%,12.10%,13.98%,GBD 2016,Mental Health
Republic of Indonesia,2016,Emotional disorder,Mental disorders,Both,All ages,10.89%,10.00%,11.77%,GBD 2016,Mental Health
Global,2017,Emotional disorder,Mental disorders,Both,All ages,13.02%,12.11%,14.00%,GBD 2017,Mental Health
Republic of Indonesia,2017,Emotional disorder,Mental disorders,Both,All ages,10.91%,10.02%,11.78%,GBD 2017,Mental Health
Global,2018,Emotional disorder,Mental disorders,Both,All ages,13.03%,12.12%,14.01%,GBD 2018,Mental Health
Republic of Indonesia,2018,Emotional disorder,Mental disorders,Both,All ages,10.95%,10.08%,11.83%,GBD 2018,Mental Health
Global,2019,Emotional disorder,Mental disorders,Both,All ages,13.04%,12.12%,14.01%,GBD 2019,Mental Health
Republic of Indonesia,2019,Emotional disorder,Mental disorders,Both,All ages,11.01%,10.13%,11.89%,GBD 2019,Mental Health
Global,1990,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.32%,GBD 1990,Mental Health
Republic of Indonesia,1990,Schizophrenia,Schizophrenia,Both,All ages,0.25%,0.21%,0.29%,GBD 1990,Mental Health
Global,1991,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.32%,GBD 1991,Mental Health
Republic of Indonesia,1991,Schizophrenia,Schizophrenia,Both,All ages,0.25%,0.21%,0.30%,GBD 1991,Mental Health
Global,1992,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.32%,GBD 1992,Mental Health
Republic of Indonesia,1992,Schizophrenia,Schizophrenia,Both,All ages,0.26%,0.22%,0.30%,GBD 1992,Mental Health
Global,1993,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.32%,GBD 1993,Mental Health
Republic of Indonesia,1993,Schizophrenia,Schizophrenia,Both,All ages,0.26%,0.22%,0.31%,GBD 1993,Mental Health
Global,1994,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.33%,GBD 1994,Mental Health
Republic of Indonesia,1994,Schizophrenia,Schizophrenia,Both,All ages,0.26%,0.22%,0.31%,GBD 1994,Mental Health
Global,1995,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.33%,GBD 1995,Mental Health
Republic of Indonesia,1995,Schizophrenia,Schizophrenia,Both,All ages,0.27%,0.23%,0.31%,GBD 1995,Mental Health
Global,1996,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.33%,GBD 1996,Mental Health
Republic of Indonesia,1996,Schizophrenia,Schizophrenia,Both,All ages,0.27%,0.23%,0.32%,GBD 1996,Mental Health
Global,1997,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.33%,GBD 1997,Mental Health
Republic of Indonesia,1997,Schizophrenia,Schizophrenia,Both,All ages,0.27%,0.23%,0.32%,GBD 1997,Mental Health
Global,1998,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.33%,GBD 1998,Mental Health
Republic of Indonesia,1998,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.23%,0.32%,GBD 1998,Mental Health
Global,1999,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.34%,GBD 1999,Mental Health
Republic of Indonesia,1999,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.33%,GBD 1999,Mental Health
Global,2000,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.34%,GBD 2000,Mental Health
Republic of Indonesia,2000,Schizophrenia,Schizophrenia,Both,All ages,0.28%,0.24%,0.33%,GBD 2000,Mental Health
Global,2001,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.34%,GBD 2001,Mental Health
Republic of Indonesia,2001,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.24%,0.33%,GBD 2001,Mental Health
Global,2002,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.25%,0.34%,GBD 2002,Mental Health
Republic of Indonesia,2002,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.24%,0.34%,GBD 2002,Mental Health
Global,2003,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.34%,GBD 2003,Mental Health
Republic of Indonesia,2003,Schizophrenia,Schizophrenia,Both,All ages,0.29%,0.25%,0.34%,GBD 2003,Mental Health
Global,2004,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2004,Mental Health
Republic of Indonesia,2004,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.25%,0.34%,GBD 2004,Mental Health
Global,2005,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2005,Mental Health
Republic of Indonesia,2005,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.25%,0.35%,GBD 2005,Mental Health
Global,2006,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2006,Mental Health
Republic of Indonesia,2006,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.25%,0.35%,GBD 2006,Mental Health
Global,2007,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2007,Mental Health
Republic of Indonesia,2007,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.25%,0.35%,GBD 2007,Mental Health
Global,2008,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.26%,0.35%,GBD 2008,Mental Health
Republic of Indonesia,2008,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2008,Mental Health
Global,2009,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.26%,0.35%,GBD 2009,Mental Health
Republic of Indonesia,2009,Schizophrenia,Schizophrenia,Both,All ages,0.30%,0.26%,0.35%,GBD 2009,Mental Health
Global,2010,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2010,Mental Health
Republic of Indonesia,2010,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.26%,0.36%,GBD 2010,Mental Health
Global,2011,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2011,Mental Health
Republic of Indonesia,2011,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.26%,0.36%,GBD 2011,Mental Health
Global,2012,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2012,Mental Health
Republic of Indonesia,2012,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2012,Mental Health
Global,2013,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2013,Mental Health
Republic of Indonesia,2013,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.37%,GBD 2013,Mental Health
Global,2014,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2014,Mental Health
Republic of Indonesia,2014,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.37%,GBD 2014,Mental Health
Global,2015,Schizophrenia,Schizophrenia,Both,All ages,0.31%,0.27%,0.36%,GBD 2015,Mental Health
Republic of Indonesia,2015,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.37%,GBD 2015,Mental Health
Global,2016,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.36%,GBD 2016,Mental Health
Republic of Indonesia,2016,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.28%,0.38%,GBD 2016,Mental Health
Global,2017,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.36%,GBD 2017,Mental Health
Republic of Indonesia,2017,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.28%,0.38%,GBD 2017,Mental Health
Global,2018,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.37%,GBD 2018,Mental Health
Republic of Indonesia,2018,Schizophrenia,Schizophrenia,Both,All ages,0.33%,0.28%,0.38%,GBD 2018,Mental Health
Global,2019,Schizophrenia,Schizophrenia,Both,All ages,0.32%,0.27%,0.37%,GBD 2019,Mental Health
Republic of Indonesia,2019,Schizophrenia,Schizophrenia,Both,All ages,0.33%,0.28%,0.38%,GBD 2019,Mental Health
Global,1990,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.17%,2.69%,3.70%,GBD 1990,Communicable Diseases
Republic of Indonesia,1990,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.67%,3.07%,4.30%,GBD 1990,Communicable Diseases
Global,1991,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.09%,2.64%,3.59%,GBD 1991,Communicable Diseases
Republic of Indonesia,1991,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.57%,3.00%,4.19%,GBD 1991,Communicable Diseases
Global,1992,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.02%,2.59%,3.49%,GBD 1992,Communicable Diseases
Republic of Indonesia,1992,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.49%,2.93%,4.09%,GBD 1992,Communicable Diseases
Global,1993,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.96%,2.55%,3.41%,GBD 1993,Communicable Diseases
Republic of Indonesia,1993,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.40%,2.87%,3.99%,GBD 1993,Communicable Diseases
Global,1994,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.92%,2.53%,3.36%,GBD 1994,Communicable Diseases
Republic of Indonesia,1994,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.32%,2.80%,3.90%,GBD 1994,Communicable Diseases
Global,1995,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.90%,2.52%,3.32%,GBD 1995,Communicable Diseases
Republic of Indonesia,1995,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.25%,2.74%,3.82%,GBD 1995,Communicable Diseases
Global,1996,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.90%,2.51%,3.31%,GBD 1996,Communicable Diseases
Republic of Indonesia,1996,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.17%,2.68%,3.74%,GBD 1996,Communicable Diseases
Global,1997,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.89%,2.51%,3.29%,GBD 1997,Communicable Diseases
Republic of Indonesia,1997,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.08%,2.59%,3.64%,GBD 1997,Communicable Diseases
Global,1998,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.88%,2.50%,3.27%,GBD 1998,Communicable Diseases
Republic of Indonesia,1998,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.00%,2.51%,3.55%,GBD 1998,Communicable Diseases
Global,1999,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.87%,2.50%,3.27%,GBD 1999,Communicable Diseases
Republic of Indonesia,1999,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.94%,2.45%,3.49%,GBD 1999,Communicable Diseases
Global,2000,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.88%,2.50%,3.27%,GBD 2000,Communicable Diseases
Republic of Indonesia,2000,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.91%,2.41%,3.47%,GBD 2000,Communicable Diseases
Global,2001,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.89%,2.51%,3.28%,GBD 2001,Communicable Diseases
Republic of Indonesia,2001,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.93%,2.43%,3.49%,GBD 2001,Communicable Diseases
Global,2002,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.90%,2.53%,3.31%,GBD 2002,Communicable Diseases
Republic of Indonesia,2002,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.97%,2.45%,3.55%,GBD 2002,Communicable Diseases
Global,2003,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.92%,2.54%,3.32%,GBD 2003,Communicable Diseases
Republic of Indonesia,2003,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.02%,2.49%,3.63%,GBD 2003,Communicable Diseases
Global,2004,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.94%,2.55%,3.33%,GBD 2004,Communicable Diseases
Republic of Indonesia,2004,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.07%,2.54%,3.70%,GBD 2004,Communicable Diseases
Global,2005,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.94%,2.55%,3.34%,GBD 2005,Communicable Diseases
Republic of Indonesia,2005,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.12%,2.57%,3.75%,GBD 2005,Communicable Diseases
Global,2006,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.93%,2.54%,3.33%,GBD 2006,Communicable Diseases
Republic of Indonesia,2006,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.16%,2.60%,3.81%,GBD 2006,Communicable Diseases
Global,2007,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.90%,2.52%,3.31%,GBD 2007,Communicable Diseases
Republic of Indonesia,2007,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.22%,2.64%,3.90%,GBD 2007,Communicable Diseases
Global,2008,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.87%,2.49%,3.27%,GBD 2008,Communicable Diseases
Republic of Indonesia,2008,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.28%,2.68%,3.96%,GBD 2008,Communicable Diseases
Global,2009,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.84%,2.46%,3.24%,GBD 2009,Communicable Diseases
Republic of Indonesia,2009,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.33%,2.74%,4.02%,GBD 2009,Communicable Diseases
Global,2010,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.82%,2.44%,3.22%,GBD 2010,Communicable Diseases
Republic of Indonesia,2010,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.36%,2.75%,4.04%,GBD 2010,Communicable Diseases
Global,2011,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.79%,2.42%,3.19%,GBD 2011,Communicable Diseases
Republic of Indonesia,2011,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,3.33%,2.73%,4.02%,GBD 2011,Communicable Diseases
Global,2012,Diarrhea <5 y.o.,Diarrheal diseases,Both,<5 years,2.76%,2.38%,3.17%,GBD 2012,Communicable Diseases
